"samplename" "depth" "ntaxa"
"1" "100" "47760" "2426"
"2" "110" "47360" "2797"
"3" "120" "47321" "3153"
"4" "130" "46850" "3599"
"5" "140" "44003" "4067"
"6" "150" "43667" "4457"
"7" "160" "42203" "4570"
"8" "170" "41421" "4509"
"9" "180" "40866" "4382"
"10" "190" "39962" "4121"
"11" "200" "38593" "3910"
"12" "50" "39113" "299"
"13" "60" "37371" "451"
"14" "70" "39426" "594"
"15" "80" "38461" "1033"
"16" "90" "41528" "1841"
