"samplename" "richnessm" "richnesssd" "simpsonm" "simpsonsd"
"1" "100" "536.1" "229.945621591038" "109.981504977495" "103.264496874379"
"2" "110" "591.7" "251.275435417879" "121.527841054585" "117.377960435113"
"3" "120" "646.4" "272.868385042232" "129.04415067573" "122.953658832091"
"4" "130" "702.2" "291.134485914824" "135.761488559823" "130.828860106862"
"5" "140" "779.1" "326.382682683312" "162.357211842007" "143.018729925022"
"6" "150" "824.2" "330.695832047114" "172.795526827737" "147.953515897642"
"7" "160" "829.4" "330.222214745028" "174.26776664692" "148.860992595857"
"8" "170" "805.2" "323.292368538998" "169.013977932658" "143.846610852905"
"9" "180" "784" "310.881184877939" "165.525896353945" "139.32151855956"
"10" "190" "736.9" "297.887917027716" "161.489933695661" "137.207707278464"
"11" "200" "689.7" "277.570831800942" "159.922915208458" "135.477257992701"
"12" "50" "106" "47.6328551410567" "17.830556208269" "16.7408265086647"
"13" "60" "149.6" "56.1628584267812" "26.7099753415068" "22.1490488071319"
"14" "70" "194.6" "84.2327463374877" "33.3411047852363" "31.438942215074"
"15" "80" "290.7" "135.467954390205" "61.4791643868346" "62.3474753878234"
"16" "90" "445.2" "224.839597145264" "92.8204850267072" "91.4003978399334"
