"samplename" "depth" "ntaxa"
"1" "100" "28105" "3154"
"2" "110" "28105" "3632"
"3" "120" "28105" "4131"
"4" "130" "28105" "4687"
"5" "140" "28105" "5227"
"6" "150" "28105" "5778"
"7" "160" "28105" "5899"
"8" "170" "28105" "5807"
"9" "180" "28105" "5669"
"10" "190" "28105" "5329"
"11" "200" "28105" "5105"
"12" "50" "28105" "367"
"13" "60" "28105" "553"
"14" "70" "28105" "731"
"15" "80" "28105" "1264"
"16" "90" "28105" "2312"
