"samplename" "richness" "simpsons"
"1" "100" "0.222222222222222" "0.00793650793650794"
"2" "110" "0.222222222222222" "0.00793650793650794"
"3" "120" "0.222222222222222" "0.00793650793650794"
"4" "130" "0.222222222222222" "0.00793650793650794"
"5" "140" "0.222222222222222" "0.00793650793650794"
"6" "150" "0.222222222222222" "0.00793650793650794"
"7" "160" "0.222222222222222" "0.00793650793650794"
"8" "170" "0.150793650793651" "0.00793650793650794"
"9" "180" "0.222222222222222" "0.00793650793650794"
"10" "190" "0.30952380952381" "0.00793650793650794"
"11" "200" "0.30952380952381" "0.00793650793650794"
"12" "50" "0.841269841269841" "0.00793650793650794"
"13" "60" "0.916562644679541" "0.00793650793650794"
"14" "70" "0.547619047619048" "0.00793650793650794"
"15" "80" "0.420634920634921" "0.00793650793650794"
"16" "90" "0.69047619047619" "0.00793650793650794"
