"samplename" "depth"
"1" "100" "40475"
"2" "110" "41954"
"3" "120" "40031"
"4" "130" "40386"
"5" "140" "39651"
"6" "150" "36157"
"7" "160" "37382"
"8" "170" "35227"
"9" "180" "32068"
"10" "190" "29914"
"11" "200" "28105"
"12" "50" "37247"
"13" "60" "36836"
"14" "70" "37715"
"15" "80" "33575"
"16" "90" "36759"
