"row.names" "Original.Reads" "Filtered.Reads" "Denoised.Reads" "tabled" "Non.chimeric.Reads" "forward.trim"
"81" "Ines-Groeningen-E5-3" 51315 49974 48604 48604 45637 "150"
"82" "Ines-Groeningen-E6-3" 74564 72348 70092 70092 68574 "150"
"83" "Ines-Groeningen-E6-5" 101969 98244 95776 95776 84054 "150"
"84" "Ines-Groeningen-F3-4" 60874 58057 56501 56501 50020 "150"
"85" "Ines-Groeningen-F5-1" 51092 49798 48493 48493 43667 "150"
"86" "Ines-Groeningen-F5-3" 158699 154691 151349 151349 137854 "150"
"87" "Ines-Groeningen-F5-5" 85108 82635 81003 81003 65789 "150"
"88" "Ines-Groeningen-F6-1" 56042 53789 52715 52715 42895 "150"
"89" "Ines-Groeningen-F6-2" 47591 43988 42996 42996 36157 "150"
"90" "Ines-Groeningen-F6-3" 78710 76416 74233 74233 69727 "150"
"91" "Ines-Groeningen-C3-1" 160428 153339 148916 148916 141837 "160"
"92" "Ines-Groeningen-C3-3" 76905 73300 70572 70572 68840 "160"
"93" "Ines-Groeningen-E3-1" 77315 74080 71142 71142 70114 "160"
"94" "Ines-Groeningen-E3-4" 84827 78859 76568 76568 67536 "160"
"95" "Ines-Groeningen-E5-1" 196518 188777 184780 184780 158900 "160"
"96" "Ines-Groeningen-E5-3" 51315 49228 47713 47713 44514 "160"
"97" "Ines-Groeningen-E6-3" 74564 71175 68710 68710 67178 "160"
"98" "Ines-Groeningen-E6-5" 101969 96299 93768 93768 83362 "160"
"99" "Ines-Groeningen-F3-4" 60874 56626 54868 54868 48643 "160"
"100" "Ines-Groeningen-F5-1" 51092 49087 47603 47603 42203 "160"
"101" "Ines-Groeningen-F5-3" 158699 152444 148905 148905 134714 "160"
"102" "Ines-Groeningen-F5-5" 85108 81373 79610 79610 68826 "160"
"103" "Ines-Groeningen-F6-1" 56042 52621 51318 51318 42565 "160"
"104" "Ines-Groeningen-F6-2" 47591 42361 41165 41165 37382 "160"
"105" "Ines-Groeningen-F6-3" 78710 75145 72906 72906 67996 "160"
"106" "Ines-Groeningen-C3-1" 160428 150479 145995 145995 139903 "170"
"107" "Ines-Groeningen-C3-3" 76905 71799 68994 68994 67552 "170"
"108" "Ines-Groeningen-E3-1" 77315 72796 69720 69720 68889 "170"
"109" "Ines-Groeningen-E3-4" 84827 76127 73658 73658 66337 "170"
"110" "Ines-Groeningen-E5-1" 196518 185927 181907 181907 154620 "170"
"111" "Ines-Groeningen-E5-3" 51315 48429 46921 46921 43517 "170"
"112" "Ines-Groeningen-E6-3" 74564 69944 67559 67559 66268 "170"
"113" "Ines-Groeningen-E6-5" 101969 93717 90773 90773 82264 "170"
"114" "Ines-Groeningen-F3-4" 60874 54600 52700 52700 47553 "170"
"115" "Ines-Groeningen-F5-1" 51092 48332 46770 46770 41421 "170"
"116" "Ines-Groeningen-F5-3" 158699 150169 146564 146564 131848 "170"
"117" "Ines-Groeningen-F5-5" 85108 79760 77763 77763 68155 "170"
"118" "Ines-Groeningen-F6-1" 56042 51061 49536 49536 41798 "170"
"119" "Ines-Groeningen-F6-2" 47591 40063 38812 38812 35227 "170"
"120" "Ines-Groeningen-F6-3" 78710 73917 71618 71618 66814 "170"
"121" "Ines-Groeningen-C3-1" 160428 147153 142667 142667 136837 "180"
"122" "Ines-Groeningen-C3-3" 76905 70081 67428 67428 65919 "180"
"123" "Ines-Groeningen-E3-1" 77315 71366 68093 68093 67131 "180"
"124" "Ines-Groeningen-E3-4" 84827 73474 70943 70943 64188 "180"
"125" "Ines-Groeningen-E5-1" 196518 182687 178395 178395 151618 "180"
"126" "Ines-Groeningen-E5-3" 51315 47647 46107 46107 42752 "180"
"127" "Ines-Groeningen-E6-3" 74564 68481 65848 65848 64695 "180"
"128" "Ines-Groeningen-E6-5" 101969 91208 88535 88535 80547 "180"
"129" "Ines-Groeningen-F3-4" 60874 52543 50574 50574 46230 "180"
"130" "Ines-Groeningen-F5-1" 51092 47582 45914 45914 40866 "180"
"131" "Ines-Groeningen-F5-3" 158699 147673 144077 144077 129647 "180"
"132" "Ines-Groeningen-F5-5" 85108 78396 76435 76435 66794 "180"
"133" "Ines-Groeningen-F6-1" 56042 49573 48113 48113 40506 "180"
"134" "Ines-Groeningen-F6-2" 47591 37861 36461 36461 32068 "180"
"135" "Ines-Groeningen-F6-3" 78710 72502 70214 70214 65421 "180"
"136" "Ines-Groeningen-C3-1" 160428 143283 138798 138798 133326 "190"
"137" "Ines-Groeningen-C3-3" 76905 68199 65041 65041 63645 "190"
"138" "Ines-Groeningen-E3-1" 77315 69755 66278 66278 65434 "190"
"139" "Ines-Groeningen-E3-4" 84827 70057 67343 67343 62000 "190"
"140" "Ines-Groeningen-E5-1" 196518 179148 174422 174422 148000 "190"
"141" "Ines-Groeningen-E5-3" 51315 46662 44803 44803 41554 "190"
"142" "Ines-Groeningen-E6-3" 74564 66890 64079 64079 63127 "190"
"143" "Ines-Groeningen-E6-5" 101969 88031 85033 85033 77929 "190"
"144" "Ines-Groeningen-F3-4" 60874 49993 47819 47819 44434 "190"
"145" "Ines-Groeningen-F5-1" 51092 46673 44977 44977 39962 "190"
"146" "Ines-Groeningen-F5-3" 158699 144753 140850 140850 126548 "190"
"147" "Ines-Groeningen-F5-5" 85108 76630 74719 74719 65363 "190"
"148" "Ines-Groeningen-F6-1" 56042 47717 46252 46252 39256 "190"
"149" "Ines-Groeningen-F6-2" 47591 35553 33984 33984 29914 "190"
"150" "Ines-Groeningen-F6-3" 78710 70857 68492 68492 63911 "190"
"151" "Ines-Groeningen-C3-1" 160428 138509 133621 133621 128369 "200"
"152" "Ines-Groeningen-C3-3" 76905 65806 62667 62667 61440 "200"
"153" "Ines-Groeningen-E3-1" 77315 67738 64069 64069 63105 "200"
"154" "Ines-Groeningen-E3-4" 84827 66290 63430 63430 58364 "200"
"155" "Ines-Groeningen-E5-1" 196518 175036 169815 169815 139882 "200"
"156" "Ines-Groeningen-E5-3" 51315 45630 43593 43593 40431 "200"
"157" "Ines-Groeningen-E6-3" 74564 64895 62090 62090 60959 "200"
"158" "Ines-Groeningen-E6-5" 101969 84490 81232 81232 74736 "200"
"159" "Ines-Groeningen-F3-4" 60874 47090 44731 44731 41606 "200"
"160" "Ines-Groeningen-F5-1" 51092 45638 43915 43915 38593 "200"
"161" "Ines-Groeningen-F5-3" 158699 141401 136889 136889 121895 "200"
"162" "Ines-Groeningen-F5-5" 85108 74653 72507 72507 63410 "200"
"163" "Ines-Groeningen-F6-1" 56042 45629 43976 43976 37502 "200"
"164" "Ines-Groeningen-F6-2" 47591 33054 31325 31325 28105 "200"
"165" "Ines-Groeningen-F6-3" 78710 68982 66394 66394 59963 "200"
"166" "Ines-Groeningen-C3-1" 160428 160405 160155 160155 130147 "50"
"167" "Ines-Groeningen-C3-3" 76905 76894 76629 76629 62181 "50"
"168" "Ines-Groeningen-E3-1" 77315 77301 77003 77003 62556 "50"
"169" "Ines-Groeningen-E3-4" 84827 84808 84733 84733 54162 "50"
"170" "Ines-Groeningen-E5-1" 196518 196504 196002 196002 175618 "50"
"171" "Ines-Groeningen-E5-3" 51315 51309 51162 51162 46115 "50"
"172" "Ines-Groeningen-E6-3" 74564 74555 74294 74294 60885 "50"
"173" "Ines-Groeningen-E6-5" 101969 101962 101835 101835 61356 "50"
"174" "Ines-Groeningen-F3-4" 60874 60860 60794 60794 39113 "50"
"175" "Ines-Groeningen-F5-1" 51092 51085 50842 50842 47607 "50"
"176" "Ines-Groeningen-F5-3" 158699 158674 157991 157991 142644 "50"
"177" "Ines-Groeningen-F5-5" 85108 85100 85000 85000 67400 "50"
"178" "Ines-Groeningen-F6-1" 56042 56031 55969 55969 37247 "50"
"179" "Ines-Groeningen-F6-2" 47591 47585 47516 47516 38341 "50"
"180" "Ines-Groeningen-F6-3" 78710 78696 78493 78493 70383 "50"
"181" "Ines-Groeningen-C3-1" 160428 160404 159825 159825 132612 "60"
"182" "Ines-Groeningen-C3-3" 76905 76894 76434 76434 63982 "60"
"183" "Ines-Groeningen-E3-1" 77315 77301 76888 76888 64438 "60"
"184" "Ines-Groeningen-E3-4" 84827 84807 84520 84520 50149 "60"
"185" "Ines-Groeningen-E5-1" 196518 196503 196073 196073 175882 "60"
"186" "Ines-Groeningen-E5-3" 51315 51309 50990 50990 46536 "60"
"187" "Ines-Groeningen-E6-3" 74564 74554 74301 74301 62025 "60"
"188" "Ines-Groeningen-E6-5" 101969 101959 101490 101490 61992 "60"
"189" "Ines-Groeningen-F3-4" 60874 60859 60584 60584 37371 "60"
"190" "Ines-Groeningen-F5-1" 51092 51085 50760 50760 47909 "60"
"191" "Ines-Groeningen-F5-3" 158699 158674 158022 158022 144056 "60"
"192" "Ines-Groeningen-F5-5" 85108 85100 84902 84902 69779 "60"
"193" "Ines-Groeningen-F6-1" 56042 56031 55887 55887 36836 "60"
"194" "Ines-Groeningen-F6-2" 47591 47584 47452 47452 38977 "60"
