"row.names" "Original.Reads" "Filtered.Reads" "Denoised.Reads" "tabled" "forward.trim"
"82" "DRR070553.fastq.gz" 33466 33127 32611 32611 "150"
"83" "DRR070554.fastq.gz" 31718 31328 30470 30470 "150"
"84" "DRR070555.fastq.gz" 34193 33772 32868 32868 "150"
"85" "DRR070556.fastq.gz" 35693 35254 34417 34417 "150"
"86" "DRR070577.fastq.gz" 43681 43246 42682 42682 "150"
"87" "DRR070578.fastq.gz" 44605 44130 43353 43353 "150"
"88" "DRR070579.fastq.gz" 31237 30947 30404 30404 "150"
"89" "DRR070580.fastq.gz" 74736 72162 71514 71514 "150"
"90" "DRR070581.fastq.gz" 73470 70597 69818 69818 "150"
"91" "DRR070527.fastq.gz" 70166 66918 65453 65453 "160"
"92" "DRR070528.fastq.gz" 73058 69970 68252 68252 "160"
"93" "DRR070529.fastq.gz" 34232 33848 32898 32898 "160"
"94" "DRR070530.fastq.gz" 30997 30585 29691 29691 "160"
"95" "DRR070531.fastq.gz" 31273 30829 29908 29908 "160"
"96" "DRR070552.fastq.gz" 68057 64943 63642 63642 "160"
"97" "DRR070553.fastq.gz" 33466 33117 32556 32556 "160"
"98" "DRR070554.fastq.gz" 31718 31318 30505 30505 "160"
"99" "DRR070555.fastq.gz" 34193 33763 32802 32802 "160"
"100" "DRR070556.fastq.gz" 35693 35242 34374 34374 "160"
"101" "DRR070577.fastq.gz" 43681 43230 42606 42606 "160"
"102" "DRR070578.fastq.gz" 44605 44116 43325 43325 "160"
"103" "DRR070579.fastq.gz" 31237 30933 30313 30313 "160"
"104" "DRR070580.fastq.gz" 74736 72048 71252 71252 "160"
"105" "DRR070581.fastq.gz" 73470 70486 69683 69683 "160"
"106" "DRR070527.fastq.gz" 70166 66810 65205 65205 "170"
"107" "DRR070528.fastq.gz" 73058 69879 68083 68083 "170"
"108" "DRR070529.fastq.gz" 34232 33832 32744 32744 "170"
"109" "DRR070530.fastq.gz" 30997 30572 29619 29619 "170"
"110" "DRR070531.fastq.gz" 31273 30811 29881 29881 "170"
"111" "DRR070552.fastq.gz" 68057 64857 63525 63525 "170"
"112" "DRR070553.fastq.gz" 33466 33109 32500 32500 "170"
"113" "DRR070554.fastq.gz" 31718 31306 30448 30448 "170"
"114" "DRR070555.fastq.gz" 34193 33754 32828 32828 "170"
"115" "DRR070556.fastq.gz" 35693 35231 34278 34278 "170"
"116" "DRR070577.fastq.gz" 43681 43216 42600 42600 "170"
"117" "DRR070578.fastq.gz" 44605 44106 43298 43298 "170"
"118" "DRR070579.fastq.gz" 31237 30927 30348 30348 "170"
"119" "DRR070580.fastq.gz" 74736 71974 71158 71158 "170"
"120" "DRR070581.fastq.gz" 73470 70418 69569 69569 "170"
"121" "DRR070527.fastq.gz" 70166 66769 65139 65139 "180"
"122" "DRR070528.fastq.gz" 73058 69830 68127 68127 "180"
"123" "DRR070529.fastq.gz" 34232 33822 32633 32633 "180"
"124" "DRR070530.fastq.gz" 30997 30560 29626 29626 "180"
"125" "DRR070531.fastq.gz" 31273 30807 29823 29823 "180"
"126" "DRR070552.fastq.gz" 68057 64800 63442 63442 "180"
"127" "DRR070553.fastq.gz" 33466 33102 32530 32530 "180"
"128" "DRR070554.fastq.gz" 31718 31300 30461 30461 "180"
"129" "DRR070555.fastq.gz" 34193 33748 32831 32831 "180"
"130" "DRR070556.fastq.gz" 35693 35222 34279 34279 "180"
"131" "DRR070577.fastq.gz" 43681 43207 42549 42549 "180"
"132" "DRR070578.fastq.gz" 44605 44102 43297 43297 "180"
"133" "DRR070579.fastq.gz" 31237 30920 30305 30305 "180"
"134" "DRR070580.fastq.gz" 74736 71943 71144 71144 "180"
"135" "DRR070581.fastq.gz" 73470 70383 69546 69546 "180"
"136" "DRR070527.fastq.gz" 70166 66724 65098 65098 "190"
"137" "DRR070528.fastq.gz" 73058 69783 68044 68044 "190"
"138" "DRR070529.fastq.gz" 34232 33819 32692 32692 "190"
"139" "DRR070530.fastq.gz" 30997 30555 29543 29543 "190"
"140" "DRR070531.fastq.gz" 31273 30803 29822 29822 "190"
"141" "DRR070552.fastq.gz" 68057 64757 63377 63377 "190"
"142" "DRR070553.fastq.gz" 33466 33097 32436 32436 "190"
"143" "DRR070554.fastq.gz" 31718 31293 30434 30434 "190"
"144" "DRR070555.fastq.gz" 34193 33737 32757 32757 "190"
