"samplename" "richness" "simpsons"
"1" "100" "0.0952380952380952" "0.00793650793650794"
"2" "110" "0.0952380952380952" "0.00793650793650794"
"3" "120" "0.0952380952380952" "0.00793650793650794"
"4" "130" "0.0952380952380952" "0.00793650793650794"
"5" "140" "0.0952380952380952" "0.00793650793650794"
"6" "150" "0.0593270609465235" "0.00793650793650794"
"7" "160" "0.0555555555555556" "0.00793650793650794"
"8" "170" "0.0555555555555556" "0.00793650793650794"
"9" "180" "0.0555555555555556" "0.00793650793650794"
"10" "190" "0.0593270609465235" "0.00793650793650794"
"11" "200" "0.0555555555555556" "0.00793650793650794"
"12" "50" "0.0936926194932482" "0.222222222222222"
"13" "60" "0.0952380952380952" "0.222222222222222"
"14" "70" "0.150793650793651" "0.00793650793650794"
"15" "80" "0.0952380952380952" "0.0555555555555556"
"16" "90" "0.0952380952380952" "0.0317460317460317"
