"samplename" "depth"
"1" "100" "26818"
"2" "110" "27093"
"3" "120" "26714"
"4" "130" "27062"
"5" "140" "26911"
"6" "150" "27572"
"7" "160" "27436"
"8" "170" "27261"
"9" "180" "27582"
"10" "190" "27517"
"11" "200" "27406"
"12" "50" "27652"
"13" "60" "27446"
"14" "70" "25236"
"15" "80" "23554"
"16" "90" "26804"
