"samplename" "depth" "ntaxa"
"1" "100" "26818" "980"
"2" "110" "27093" "1043"
"3" "120" "26714" "1118"
"4" "130" "27062" "1211"
"5" "140" "26911" "1391"
"6" "150" "27572" "1509"
"7" "160" "27436" "1570"
"8" "170" "27261" "1624"
"9" "180" "27582" "1639"
"10" "190" "27517" "1632"
"11" "200" "27406" "1670"
"12" "50" "27652" "225"
"13" "60" "27446" "242"
"14" "70" "25236" "354"
"15" "80" "23554" "586"
"16" "90" "26804" "824"
