"samplename" "depth" "ntaxa"
"1" "100" "23554" "1040"
"2" "110" "23554" "1113"
"3" "120" "23554" "1195"
"4" "130" "23554" "1311"
"5" "140" "23554" "1504"
"6" "150" "23554" "1624"
"7" "160" "23554" "1715"
"8" "170" "23554" "1778"
"9" "180" "23554" "1790"
"10" "190" "23554" "1783"
"11" "200" "23554" "1833"
"12" "50" "23554" "228"
"13" "60" "23554" "248"
"14" "70" "23554" "369"
"15" "80" "23554" "624"
"16" "90" "23554" "877"
