"samplename" "richnessm" "richnesssd" "simpsonm" "simpsonsd"
"1" "100" "378" "89.96542545766" "95.1178381012893" "35.4828245992223"
"2" "110" "398.8" "94.8926879281129" "98.7409799250323" "37.0123450977836"
"3" "120" "414.1" "98.8280774319165" "96.4588047237992" "36.162664830166"
"4" "130" "436.2" "104.594242458921" "99.7988668288783" "38.0177924732756"
"5" "140" "464" "113.991227732664" "102.164184697525" "40.4456681667077"
"6" "150" "490.8" "126.257937044238" "103.910121619666" "42.2335429909144"
"7" "160" "501.1" "126.695128381306" "104.030217565951" "42.0852621494881"
"8" "170" "510.4" "132.060760426572" "108.89869155" "48.8588977229046"
"9" "180" "514.8" "132.133602421522" "111.24905242566" "49.6990090793898"
"10" "190" "510.1" "131.059316511435" "110.18336231197" "49.0133060940848"
"11" "200" "518.3" "131.055586171161" "109.591869582838" "48.7084342857429"
"12" "50" "131" "19.8046010366839" "30.8567069036935" "6.89953781967127"
"13" "60" "139.4" "21.8794677977119" "31.1468066575488" "7.17354565562361"
"14" "70" "184.2" "31.0869747643607" "46.0226632583849" "15.5590106278935"
"15" "80" "269.9" "53.7741160369518" "65.0511309623593" "22.5869145740335"
"16" "90" "338.5" "78.3570885965867" "80.3799776492856" "28.5275229781393"
