"row.names" "Original.Reads" "Filtered.Reads" "Denoised.Reads" "tabled" "Non.chimeric.Reads" "forward.trim"
"85" "DRR070556.fastq.gz" 35693 35254 34417 34417 32322 "150"
"86" "DRR070577.fastq.gz" 43681 43246 42682 42682 40993 "150"
"87" "DRR070578.fastq.gz" 44605 44130 43353 43353 41609 "150"
"88" "DRR070579.fastq.gz" 31237 30947 30404 30404 29543 "150"
"89" "DRR070580.fastq.gz" 74736 72162 71514 71514 68286 "150"
"90" "DRR070581.fastq.gz" 73470 70597 69818 69818 67135 "150"
"91" "DRR070527.fastq.gz" 70166 66918 65453 65453 60590 "160"
"92" "DRR070528.fastq.gz" 73058 69970 68252 68252 62711 "160"
"93" "DRR070529.fastq.gz" 34232 33848 32898 32898 30904 "160"
"94" "DRR070530.fastq.gz" 30997 30585 29691 29691 27436 "160"
"95" "DRR070531.fastq.gz" 31273 30829 29908 29908 28659 "160"
"96" "DRR070552.fastq.gz" 68057 64943 63642 63642 58990 "160"
"97" "DRR070553.fastq.gz" 33466 33117 32556 32556 31003 "160"
"98" "DRR070554.fastq.gz" 31718 31318 30505 30505 28490 "160"
"99" "DRR070555.fastq.gz" 34193 33763 32802 32802 31442 "160"
"100" "DRR070556.fastq.gz" 35693 35242 34374 34374 32223 "160"
"101" "DRR070577.fastq.gz" 43681 43230 42606 42606 40931 "160"
"102" "DRR070578.fastq.gz" 44605 44116 43325 43325 41534 "160"
"103" "DRR070579.fastq.gz" 31237 30933 30313 30313 29455 "160"
"104" "DRR070580.fastq.gz" 74736 72048 71252 71252 68219 "160"
"105" "DRR070581.fastq.gz" 73470 70486 69683 69683 67139 "160"
"106" "DRR070527.fastq.gz" 70166 66810 65205 65205 60047 "170"
"107" "DRR070528.fastq.gz" 73058 69879 68083 68083 62284 "170"
"108" "DRR070529.fastq.gz" 34232 33832 32744 32744 30592 "170"
"109" "DRR070530.fastq.gz" 30997 30572 29619 29619 27261 "170"
"110" "DRR070531.fastq.gz" 31273 30811 29881 29881 28499 "170"
"111" "DRR070552.fastq.gz" 68057 64857 63525 63525 58595 "170"
"112" "DRR070553.fastq.gz" 33466 33109 32500 32500 30776 "170"
"113" "DRR070554.fastq.gz" 31718 31306 30448 30448 28272 "170"
"114" "DRR070555.fastq.gz" 34193 33754 32828 32828 31363 "170"
"115" "DRR070556.fastq.gz" 35693 35231 34278 34278 31952 "170"
"116" "DRR070577.fastq.gz" 43681 43216 42600 42600 40622 "170"
"117" "DRR070578.fastq.gz" 44605 44106 43298 43298 41084 "170"
"118" "DRR070579.fastq.gz" 31237 30927 30348 30348 29269 "170"
"119" "DRR070580.fastq.gz" 74736 71974 71158 71158 67764 "170"
"120" "DRR070581.fastq.gz" 73470 70418 69569 69569 66596 "170"
"121" "DRR070527.fastq.gz" 70166 66769 65139 65139 60534 "180"
"122" "DRR070528.fastq.gz" 73058 69830 68127 68127 62860 "180"
"123" "DRR070529.fastq.gz" 34232 33822 32633 32633 30714 "180"
"124" "DRR070530.fastq.gz" 30997 30560 29626 29626 27582 "180"
"125" "DRR070531.fastq.gz" 31273 30807 29823 29823 28655 "180"
"126" "DRR070552.fastq.gz" 68057 64800 63442 63442 58948 "180"
"127" "DRR070553.fastq.gz" 33466 33102 32530 32530 31065 "180"
"128" "DRR070554.fastq.gz" 31718 31300 30461 30461 28683 "180"
"129" "DRR070555.fastq.gz" 34193 33748 32831 32831 31535 "180"
"130" "DRR070556.fastq.gz" 35693 35222 34279 34279 32234 "180"
"131" "DRR070577.fastq.gz" 43681 43207 42549 42549 40829 "180"
"132" "DRR070578.fastq.gz" 44605 44102 43297 43297 41428 "180"
