"samplename" "richnessm" "richnesssd" "simpsonm" "simpsonsd"
"1" "100" "222.6" "182.696591222837" "30.0214273139704" "25.6269588955926"
"2" "110" "225.9" "186.656219945772" "30.080161378539" "25.6950698349943"
"3" "120" "245.7" "203.899239822026" "31.8911167602839" "26.7107943718288"
"4" "130" "249.9" "207.283729328774" "32.124183547936" "27.0367469763447"
"5" "140" "254.2" "212.923460426511" "32.3160073759025" "27.0398444439066"
"6" "150" "253.5" "213.910806957791" "32.4746264443737" "27.3341954705958"
"7" "160" "253.4" "212.47860022966" "32.4975837562067" "27.3785572107315"
"8" "170" "251.9" "210.799246256295" "32.7454034601989" "27.5118460991205"
"9" "180" "244.9" "204.941427946838" "33.3663169838281" "27.9689527278293"
"10" "190" "240.1" "200.56999332458" "33.6776791553785" "28.0874982954596"
"11" "200" "238.7" "199.26590275308" "33.6915544536494" "28.2233542682735"
"12" "50" "65.5" "38.1903129078566" "11.3712425038364" "7.53958403187421"
"13" "60" "121.9" "89.5624549313681" "20.1728793576437" "16.8815864896334"
"14" "70" "170" "137.741303415739" "23.8751918426329" "21.0642976563203"
"15" "80" "193.7" "158.680706661732" "25.1862299092749" "22.633278891667"
"16" "90" "209.3" "170.219498817785" "28.1208082959082" "23.4690639389029"
