"samplename" "depth" "ntaxa"
"1" "100" "12481" "874"
"2" "110" "12481" "898"
"3" "120" "12481" "992"
"4" "130" "12481" "1020"
"5" "140" "12481" "1046"
"6" "150" "12481" "1051"
"7" "160" "12481" "1053"
"8" "170" "12481" "1058"
"9" "180" "12481" "1017"
"10" "190" "12481" "1023"
"11" "200" "12481" "1029"
"12" "50" "12481" "180"
"13" "60" "12481" "397"
"14" "70" "12481" "626"
"15" "80" "12481" "747"
"16" "90" "12481" "813"
