"samplename" "richness" "simpsons"
"1" "100" "0.0119252335930176" "0.00793650793650794"
"2" "110" "0.00793650793650794" "0.00793650793650794"
"3" "120" "0.00793650793650794" "0.00793650793650794"
"4" "130" "0.00793650793650794" "0.00793650793650794"
"5" "140" "0.0119252335930176" "0.00793650793650794"
"6" "150" "0.00793650793650794" "0.00793650793650794"
"7" "160" "0.00793650793650794" "0.00793650793650794"
"8" "170" "0.00793650793650794" "0.00793650793650794"
"9" "180" "0.0119252335930176" "0.00793650793650794"
"10" "190" "0.00793650793650794" "0.00793650793650794"
"11" "200" "0.00793650793650794" "0.00793650793650794"
"12" "50" "0.0111594252829148" "0.00793650793650794"
"13" "60" "0.0119252335930176" "0.00793650793650794"
"14" "70" "0.0119252335930176" "0.00793650793650794"
"15" "80" "0.0111594252829148" "0.00793650793650794"
"16" "90" "0.00793650793650794" "0.00793650793650794"
